metatype	system_or_gold1	cluster1	system_or_gold2	cluster2	similarity
Entity	system	cluster-NILE20574	system	cluster-NILE20556	0
Entity	system	cluster-NILE20574	system	cluster-NILE20557	0
Entity	system	cluster-NILE20574	system	cluster-NILE20558	0
Entity	system	cluster-NILE20574	system	cluster-NILE20559	0
Entity	system	cluster-NILE20574	system	cluster-NILE20560	0
Entity	system	cluster-NILE20574	system	cluster-NILE20561	0
Entity	system	cluster-NILE20574	system	cluster-NILE20562	0
Entity	system	cluster-NILE20574	system	cluster-NILE20563	0
Entity	system	cluster-NILE20574	system	cluster-NILE20564	0
Entity	system	cluster-NILE20574	system	cluster-NILE20565	0
Entity	system	cluster-NILE20574	system	cluster-NILE20566	0
Entity	system	cluster-NILE20574	system	cluster-NILE20567	0
Entity	system	cluster-NILE20574	system	cluster-NILE20568	0
Entity	system	cluster-NILE20574	system	cluster-NILE20569	0
Entity	system	cluster-NILE20574	system	cluster-NILE20570	0
Entity	system	cluster-NILE20574	system	cluster-NILE20571	0
Entity	system	cluster-NILE20574	system	cluster-NILE20572	0
Entity	system	cluster-NILE20574	system	cluster-NILE20573	0
Entity	system	cluster-NILE20574	system	cluster-NILE20574	1
Entity	system	cluster-NILE20574	system	cluster-NILE20575	0
Entity	system	cluster-NILE20574	system	cluster-NILE20576	0
Entity	system	cluster-NILE20574	system	cluster-NILE20577	0
Entity	system	cluster-NILE20574	system	cluster-NILE20578	0
Entity	system	cluster-NILE20574	system	cluster-NILE20579	0
Entity	system	cluster-NILE20574	system	cluster-NILE20580	0
Entity	system	cluster-NILE20574	system	cluster-NILE20581	0
Entity	system	cluster-NILE20574	system	cluster-NILE20582	0
Entity	system	cluster-NILE20574	system	cluster-NILE20583	0
Entity	system	cluster-NILE20574	system	cluster-NILE20584	0
Entity	system	cluster-NILE20574	system	cluster-NILE20585	0
Entity	system	cluster-NILE20574	system	cluster-NILE20586	0
Entity	system	cluster-NILE20574	system	cluster-NILE20587	0
Entity	system	cluster-NILE20574	system	cluster-NILE20588	0
Entity	system	cluster-NILE20574	system	cluster-NILE20589	0
Entity	system	cluster-NILE20574	system	cluster-NILE20590	0
Entity	system	cluster-NILE20574	system	cluster-NILE20591	0
Entity	system	cluster-NILE20574	system	cluster-NILE20592	0
Entity	system	cluster-NILE20574	system	cluster-NILE20593	0
Entity	system	cluster-NILE20574	system	cluster-NILE20594	0
Entity	system	cluster-NILE20575	system	cluster-NILE20540	0
Entity	system	cluster-NILE20575	system	cluster-NILE20541	0
Entity	system	cluster-NILE20575	system	cluster-NILE20542	0
Entity	system	cluster-NILE20575	system	cluster-NILE20543	0
Entity	system	cluster-NILE20575	system	cluster-NILE20544	0
Entity	system	cluster-NILE20575	system	cluster-NILE20545	0
Entity	system	cluster-NILE20575	system	cluster-NILE20546	0
Entity	system	cluster-NILE20575	system	cluster-NILE20547	0
Entity	system	cluster-NILE20575	system	cluster-NILE20548	0
Entity	system	cluster-NILE20575	system	cluster-NILE20549	0
Entity	system	cluster-NILE20575	system	cluster-NILE20550	0
Entity	system	cluster-NILE20575	system	cluster-NILE20551	0
Entity	system	cluster-NILE20575	system	cluster-NILE20552	0
Entity	system	cluster-NILE20575	system	cluster-NILE20553	0
Entity	system	cluster-NILE20575	system	cluster-NILE20554	0
Entity	system	cluster-NILE20575	system	cluster-NILE20555	0
Entity	system	cluster-NILE20575	system	cluster-NILE20556	0
Entity	system	cluster-NILE20575	system	cluster-NILE20557	0
Entity	system	cluster-NILE20575	system	cluster-NILE20558	0
Entity	system	cluster-NILE20575	system	cluster-NILE20559	0
Entity	system	cluster-NILE20575	system	cluster-NILE20560	0
Entity	system	cluster-NILE20575	system	cluster-NILE20561	0
Entity	system	cluster-NILE20575	system	cluster-NILE20562	0
Entity	system	cluster-NILE20575	system	cluster-NILE20563	0
Entity	system	cluster-NILE20575	system	cluster-NILE20564	0
Entity	system	cluster-NILE20575	system	cluster-NILE20565	0
Entity	system	cluster-NILE20575	system	cluster-NILE20566	0
Entity	system	cluster-NILE20575	system	cluster-NILE20567	0
Entity	system	cluster-NILE20575	system	cluster-NILE20568	0
Entity	system	cluster-NILE20575	system	cluster-NILE20569	0
Entity	system	cluster-NILE20575	system	cluster-NILE20570	0
Entity	system	cluster-NILE20575	system	cluster-NILE20571	0
Entity	system	cluster-NILE20575	system	cluster-NILE20572	0
Entity	system	cluster-NILE20575	system	cluster-NILE20573	0
Entity	system	cluster-NILE20575	system	cluster-NILE20574	0
Entity	system	cluster-NILE20575	system	cluster-NILE20575	2
Entity	system	cluster-NILE20575	system	cluster-NILE20576	0
Entity	system	cluster-NILE20575	system	cluster-NILE20577	0
Entity	system	cluster-NILE20575	system	cluster-NILE20578	0
Entity	system	cluster-NILE20575	system	cluster-NILE20579	0
Entity	system	cluster-NILE20575	system	cluster-NILE20580	0
Entity	system	cluster-NILE20575	system	cluster-NILE20581	0
Entity	system	cluster-NILE20575	system	cluster-NILE20582	0
Entity	system	cluster-NILE20575	system	cluster-NILE20583	0
Entity	system	cluster-NILE20575	system	cluster-NILE20584	0
Entity	system	cluster-NILE20575	system	cluster-NILE20585	0
Entity	system	cluster-NILE20575	system	cluster-NILE20586	0
Entity	system	cluster-NILE20575	system	cluster-NILE20587	0
Entity	system	cluster-NILE20575	system	cluster-NILE20588	0
Entity	system	cluster-NILE20575	system	cluster-NILE20589	0
Entity	system	cluster-NILE20575	system	cluster-NILE20590	0
Entity	system	cluster-NILE20575	system	cluster-NILE20591	0
Entity	system	cluster-NILE20575	system	cluster-NILE20592	0
Entity	system	cluster-NILE20575	system	cluster-NILE20593	0
Entity	system	cluster-NILE20575	system	cluster-NILE20594	0
Entity	system	cluster-NILE20576	system	cluster-NILE20540	0
Entity	system	cluster-NILE20576	system	cluster-NILE20541	0
Entity	system	cluster-NILE20576	system	cluster-NILE20542	0
Entity	system	cluster-NILE20576	system	cluster-NILE20543	0
Entity	system	cluster-NILE20576	system	cluster-NILE20544	0
Entity	system	cluster-NILE20576	system	cluster-NILE20545	0
Entity	system	cluster-NILE20576	system	cluster-NILE20546	0
Entity	system	cluster-NILE20576	system	cluster-NILE20547	0
Entity	system	cluster-NILE20576	system	cluster-NILE20548	0
Entity	system	cluster-NILE20576	system	cluster-NILE20549	0
Entity	system	cluster-NILE20576	system	cluster-NILE20550	0
Entity	system	cluster-NILE20576	system	cluster-NILE20551	0
Entity	system	cluster-NILE20576	system	cluster-NILE20552	0
Entity	system	cluster-NILE20576	system	cluster-NILE20553	0
Entity	system	cluster-NILE20576	system	cluster-NILE20554	0
Entity	system	cluster-NILE20576	system	cluster-NILE20555	0
Entity	system	cluster-NILE20576	system	cluster-NILE20556	0
Entity	system	cluster-NILE20576	system	cluster-NILE20557	0
Entity	system	cluster-NILE20576	system	cluster-NILE20558	0
Entity	system	cluster-NILE20576	system	cluster-NILE20559	0
Entity	system	cluster-NILE20576	system	cluster-NILE20560	0
Entity	system	cluster-NILE20576	system	cluster-NILE20561	0
Entity	system	cluster-NILE20576	system	cluster-NILE20562	0
Entity	system	cluster-NILE20576	system	cluster-NILE20563	0
Entity	system	cluster-NILE20576	system	cluster-NILE20564	0
Entity	system	cluster-NILE20576	system	cluster-NILE20565	0
Entity	system	cluster-NILE20576	system	cluster-NILE20566	0
Entity	system	cluster-NILE20576	system	cluster-NILE20567	0
Entity	system	cluster-NILE20576	system	cluster-NILE20568	0
Entity	system	cluster-NILE20576	system	cluster-NILE20569	0
Entity	system	cluster-NILE20576	system	cluster-NILE20570	0
Entity	system	cluster-NILE20576	system	cluster-NILE20571	0
Entity	system	cluster-NILE20576	system	cluster-NILE20572	0
Entity	system	cluster-NILE20576	system	cluster-NILE20573	0
Entity	system	cluster-NILE20576	system	cluster-NILE20574	0
Entity	system	cluster-NILE20576	system	cluster-NILE20575	0
Entity	system	cluster-NILE20576	system	cluster-NILE20576	1
Entity	system	cluster-NILE20576	system	cluster-NILE20577	0
Entity	system	cluster-NILE20576	system	cluster-NILE20578	0
Entity	system	cluster-NILE20576	system	cluster-NILE20579	0
Entity	system	cluster-NILE20576	system	cluster-NILE20580	0
Entity	system	cluster-NILE20576	system	cluster-NILE20581	0
Entity	system	cluster-NILE20576	system	cluster-NILE20582	0
Entity	system	cluster-NILE20576	system	cluster-NILE20583	0
Entity	system	cluster-NILE20576	system	cluster-NILE20584	0
Entity	system	cluster-NILE20576	system	cluster-NILE20585	0
Entity	system	cluster-NILE20576	system	cluster-NILE20586	0
Entity	system	cluster-NILE20576	system	cluster-NILE20587	0
Entity	system	cluster-NILE20576	system	cluster-NILE20588	0
Entity	system	cluster-NILE20576	system	cluster-NILE20589	0
Entity	system	cluster-NILE20576	system	cluster-NILE20590	0
Entity	system	cluster-NILE20576	system	cluster-NILE20591	0
Entity	system	cluster-NILE20576	system	cluster-NILE20592	0
Entity	system	cluster-NILE20576	system	cluster-NILE20593	0
Entity	system	cluster-NILE20576	system	cluster-NILE20594	0
Entity	system	cluster-NILE20577	system	cluster-NILE20540	0
Entity	system	cluster-NILE20577	system	cluster-NILE20541	0
Entity	system	cluster-NILE20577	system	cluster-NILE20542	0
Entity	system	cluster-NILE20577	system	cluster-NILE20543	0
Entity	system	cluster-NILE20577	system	cluster-NILE20544	0
Entity	system	cluster-NILE20577	system	cluster-NILE20545	0
Entity	system	cluster-NILE20577	system	cluster-NILE20546	0
Entity	system	cluster-NILE20577	system	cluster-NILE20547	0
Entity	system	cluster-NILE20577	system	cluster-NILE20548	0
Entity	system	cluster-NILE20577	system	cluster-NILE20549	0
Entity	system	cluster-NILE20577	system	cluster-NILE20550	0
Entity	system	cluster-NILE20577	system	cluster-NILE20551	0
Entity	system	cluster-NILE20577	system	cluster-NILE20552	0
Entity	system	cluster-NILE20577	system	cluster-NILE20553	0
Entity	system	cluster-NILE20577	system	cluster-NILE20554	0
Entity	system	cluster-NILE20577	system	cluster-NILE20555	0
Entity	system	cluster-NILE20577	system	cluster-NILE20556	0
Entity	system	cluster-NILE20577	system	cluster-NILE20557	0
Entity	system	cluster-NILE20577	system	cluster-NILE20558	0
Entity	system	cluster-NILE20577	system	cluster-NILE20559	0
Entity	system	cluster-NILE20577	system	cluster-NILE20560	0
Entity	system	cluster-NILE20577	system	cluster-NILE20561	0
Entity	system	cluster-NILE20577	system	cluster-NILE20562	0
Entity	system	cluster-NILE20577	system	cluster-NILE20563	0
Entity	system	cluster-NILE20577	system	cluster-NILE20564	0
Entity	system	cluster-NILE20577	system	cluster-NILE20565	0
Entity	system	cluster-NILE20577	system	cluster-NILE20566	0
Entity	system	cluster-NILE20577	system	cluster-NILE20567	0
Entity	system	cluster-NILE20577	system	cluster-NILE20568	0
Entity	system	cluster-NILE20577	system	cluster-NILE20569	0
Entity	system	cluster-NILE20577	system	cluster-NILE20570	0
Entity	system	cluster-NILE20577	system	cluster-NILE20571	0
Entity	system	cluster-NILE20577	system	cluster-NILE20572	0
Entity	system	cluster-NILE20577	system	cluster-NILE20573	0
Entity	system	cluster-NILE20577	system	cluster-NILE20574	0
Entity	system	cluster-NILE20577	system	cluster-NILE20575	0
Entity	system	cluster-NILE20577	system	cluster-NILE20576	0
Entity	system	cluster-NILE20577	system	cluster-NILE20577	4
Entity	system	cluster-NILE20577	system	cluster-NILE20578	0
Entity	system	cluster-NILE20577	system	cluster-NILE20579	0
Entity	system	cluster-NILE20577	system	cluster-NILE20580	0
Entity	system	cluster-NILE20577	system	cluster-NILE20581	0
Entity	system	cluster-NILE20577	system	cluster-NILE20582	0
Entity	system	cluster-NILE20577	system	cluster-NILE20583	0
Entity	system	cluster-NILE20577	system	cluster-NILE20584	0
Entity	system	cluster-NILE20577	system	cluster-NILE20585	0
Entity	system	cluster-NILE20577	system	cluster-NILE20586	0
Entity	system	cluster-NILE20577	system	cluster-NILE20587	0
Entity	system	cluster-NILE20577	system	cluster-NILE20588	0
Entity	system	cluster-NILE20577	system	cluster-NILE20589	0
Entity	system	cluster-NILE20577	system	cluster-NILE20590	0
Entity	system	cluster-NILE20577	system	cluster-NILE20591	0
Entity	system	cluster-NILE20577	system	cluster-NILE20592	0
Entity	system	cluster-NILE20577	system	cluster-NILE20593	0
Entity	system	cluster-NILE20577	system	cluster-NILE20594	0
Entity	system	cluster-NILE20578	system	cluster-NILE20540	0
Entity	system	cluster-NILE20578	system	cluster-NILE20541	0
Entity	system	cluster-NILE20578	system	cluster-NILE20542	0
Entity	system	cluster-NILE20578	system	cluster-NILE20543	0
Entity	system	cluster-NILE20578	system	cluster-NILE20544	0
Entity	system	cluster-NILE20578	system	cluster-NILE20545	0
Entity	system	cluster-NILE20578	system	cluster-NILE20546	0
Entity	system	cluster-NILE20578	system	cluster-NILE20547	0
Entity	system	cluster-NILE20578	system	cluster-NILE20548	0
Entity	system	cluster-NILE20578	system	cluster-NILE20549	0
Entity	system	cluster-NILE20578	system	cluster-NILE20550	0
Entity	system	cluster-NILE20578	system	cluster-NILE20551	0
Entity	system	cluster-NILE20578	system	cluster-NILE20552	0
Entity	system	cluster-NILE20578	system	cluster-NILE20553	0
Entity	system	cluster-NILE20578	system	cluster-NILE20554	0
Entity	system	cluster-NILE20578	system	cluster-NILE20555	0
Entity	system	cluster-NILE20578	system	cluster-NILE20556	0
Entity	system	cluster-NILE20578	system	cluster-NILE20557	0
Entity	system	cluster-NILE20578	system	cluster-NILE20558	0
Entity	system	cluster-NILE20578	system	cluster-NILE20559	0
Entity	system	cluster-NILE20578	system	cluster-NILE20560	0
Entity	system	cluster-NILE20578	system	cluster-NILE20561	0
Entity	system	cluster-NILE20578	system	cluster-NILE20562	0
Entity	system	cluster-NILE20578	system	cluster-NILE20563	0
Entity	system	cluster-NILE20578	system	cluster-NILE20564	0
Entity	system	cluster-NILE20578	system	cluster-NILE20565	0
Entity	system	cluster-NILE20578	system	cluster-NILE20566	0
Entity	system	cluster-NILE20578	system	cluster-NILE20567	0
Entity	system	cluster-NILE20578	system	cluster-NILE20568	0
Entity	system	cluster-NILE20578	system	cluster-NILE20569	0
Entity	system	cluster-NILE20578	system	cluster-NILE20570	0
Entity	system	cluster-NILE20578	system	cluster-NILE20571	0
Entity	system	cluster-NILE20578	system	cluster-NILE20572	0
Entity	system	cluster-NILE20578	system	cluster-NILE20573	0
Entity	system	cluster-NILE20578	system	cluster-NILE20574	0
Entity	system	cluster-NILE20578	system	cluster-NILE20575	0
Entity	system	cluster-NILE20578	system	cluster-NILE20576	0
Entity	system	cluster-NILE20578	system	cluster-NILE20577	0
Entity	system	cluster-NILE20578	system	cluster-NILE20578	1
Entity	system	cluster-NILE20578	system	cluster-NILE20579	0
Entity	system	cluster-NILE20578	system	cluster-NILE20580	0
Entity	system	cluster-NILE20578	system	cluster-NILE20581	0
Entity	system	cluster-NILE20578	system	cluster-NILE20582	0
Entity	system	cluster-NILE20578	system	cluster-NILE20583	0
Entity	system	cluster-NILE20578	system	cluster-NILE20584	0
Entity	system	cluster-NILE20578	system	cluster-NILE20585	0
Entity	system	cluster-NILE20578	system	cluster-NILE20586	0
Entity	system	cluster-NILE20578	system	cluster-NILE20587	0
Entity	system	cluster-NILE20578	system	cluster-NILE20588	0
Entity	system	cluster-NILE20578	system	cluster-NILE20589	0
Entity	system	cluster-NILE20578	system	cluster-NILE20590	0
Entity	system	cluster-NILE20578	system	cluster-NILE20591	0
Entity	system	cluster-NILE20578	system	cluster-NILE20592	0
Entity	system	cluster-NILE20578	system	cluster-NILE20593	0
Entity	system	cluster-NILE20578	system	cluster-NILE20594	0
Entity	system	cluster-NILE20579	system	cluster-NILE20540	0
Entity	system	cluster-NILE20579	system	cluster-NILE20541	0
Entity	system	cluster-NILE20579	system	cluster-NILE20542	0
Entity	system	cluster-NILE20579	system	cluster-NILE20543	0
Entity	system	cluster-NILE20579	system	cluster-NILE20544	0
Entity	system	cluster-NILE20579	system	cluster-NILE20545	0
Entity	system	cluster-NILE20579	system	cluster-NILE20546	0
Entity	system	cluster-NILE20579	system	cluster-NILE20547	0
Entity	system	cluster-NILE20579	system	cluster-NILE20548	0
Entity	system	cluster-NILE20579	system	cluster-NILE20549	0
Entity	system	cluster-NILE20579	system	cluster-NILE20550	0
Entity	system	cluster-NILE20579	system	cluster-NILE20551	0
Entity	system	cluster-NILE20579	system	cluster-NILE20552	0
Entity	system	cluster-NILE20579	system	cluster-NILE20553	0
Entity	system	cluster-NILE20579	system	cluster-NILE20554	0
Entity	system	cluster-NILE20579	system	cluster-NILE20555	0
Entity	system	cluster-NILE20579	system	cluster-NILE20556	0
Entity	system	cluster-NILE20579	system	cluster-NILE20557	0
Entity	system	cluster-NILE20579	system	cluster-NILE20558	0
Entity	system	cluster-NILE20579	system	cluster-NILE20559	0
Entity	system	cluster-NILE20579	system	cluster-NILE20560	0
Entity	system	cluster-NILE20579	system	cluster-NILE20561	0
Entity	system	cluster-NILE20579	system	cluster-NILE20562	0
Entity	system	cluster-NILE20579	system	cluster-NILE20563	0
Entity	system	cluster-NILE20579	system	cluster-NILE20564	0
Entity	system	cluster-NILE20579	system	cluster-NILE20565	0
Entity	system	cluster-NILE20579	system	cluster-NILE20566	0
Entity	system	cluster-NILE20579	system	cluster-NILE20567	0
Entity	system	cluster-NILE20579	system	cluster-NILE20568	0
Entity	system	cluster-NILE20579	system	cluster-NILE20569	0
Entity	system	cluster-NILE20579	system	cluster-NILE20570	0
Entity	system	cluster-NILE20579	system	cluster-NILE20571	0
Entity	system	cluster-NILE20579	system	cluster-NILE20572	0
Entity	system	cluster-NILE20579	system	cluster-NILE20573	0
Entity	system	cluster-NILE20579	system	cluster-NILE20574	0
Entity	system	cluster-NILE20579	system	cluster-NILE20575	0
Entity	system	cluster-NILE20579	system	cluster-NILE20576	0
Entity	system	cluster-NILE20579	system	cluster-NILE20577	0
Entity	system	cluster-NILE20579	system	cluster-NILE20578	0
